Entity,Code,Year,Homosexual activity (historical)
Angola,AGO,1996,"Illegal, prison or other penalty"
Angola,AGO,1997,"Illegal, prison or other penalty"
Angola,AGO,1998,"Illegal, prison or other penalty"
Angola,AGO,1999,"Illegal, prison or other penalty"
Angola,AGO,2000,"Illegal, prison or other penalty"
Angola,AGO,2001,"Illegal, prison or other penalty"
Angola,AGO,2002,"Illegal, prison or other penalty"
Angola,AGO,2003,"Illegal, prison or other penalty"
Angola,AGO,2004,"Illegal, prison or other penalty"
Angola,AGO,2005,"Illegal, prison or other penalty"
Angola,AGO,2006,"Illegal, prison or other penalty"
Angola,AGO,2007,"Illegal, prison or other penalty"
Angola,AGO,2008,"Illegal, prison or other penalty"
Angola,AGO,2009,"Illegal, prison or other penalty"
Angola,AGO,2010,"Illegal, prison or other penalty"
Angola,AGO,2011,"Illegal, prison or other penalty"
Angola,AGO,2012,"Illegal, prison or other penalty"
Angola,AGO,2013,"Illegal, prison or other penalty"
Angola,AGO,2014,"Illegal, prison or other penalty"
Angola,AGO,2015,"Illegal, prison or other penalty"
Angola,AGO,2016,"Illegal, prison or other penalty"
Angola,AGO,2017,"Illegal, prison or other penalty"
Angola,AGO,2018,"Illegal, prison or other penalty"
Angola,AGO,2019,Legal
Angola,AGO,2020,Legal
Angola,AGO,2021,Legal
Angola,AGO,2022,Legal
Angola,AGO,2023,Legal
Angola,AGO,2024,Legal
Antigua and Barbuda,ATG,2022,Legal
Antigua and Barbuda,ATG,2023,Legal
Antigua and Barbuda,ATG,2024,Legal
Argentina,ARG,1987,Legal
Argentina,ARG,1988,Legal
Argentina,ARG,1989,Legal
Argentina,ARG,1990,Legal
Argentina,ARG,1991,Legal
Argentina,ARG,1992,Legal
Argentina,ARG,1993,Legal
Argentina,ARG,1994,Legal
Argentina,ARG,1995,Legal
Argentina,ARG,1996,Legal
Argentina,ARG,1997,Legal
Argentina,ARG,1998,Legal
Argentina,ARG,1999,Legal
Argentina,ARG,2000,Legal
Argentina,ARG,2001,Legal
Argentina,ARG,2002,Legal
Argentina,ARG,2003,Legal
Argentina,ARG,2004,Legal
Argentina,ARG,2005,Legal
Argentina,ARG,2006,Legal
Argentina,ARG,2007,Legal
Argentina,ARG,2008,Legal
Argentina,ARG,2009,Legal
Argentina,ARG,2010,Legal
Argentina,ARG,2011,Legal
Argentina,ARG,2012,Legal
Argentina,ARG,2013,Legal
Argentina,ARG,2014,Legal
Argentina,ARG,2015,Legal
Argentina,ARG,2016,Legal
Argentina,ARG,2017,Legal
Argentina,ARG,2018,Legal
Argentina,ARG,2019,Legal
Argentina,ARG,2020,Legal
