,país,índice de igualdad legal,legalidad_colectivo_lgbtiq+,fecha_despenalización,pena_máxima,constitución,protección_amplia,empleo,crimen_odio,incitación,prohibición_terapias,matrimonio_igualitario,uniones_civiles,adopción_conjunta,adopción_segundo_progenitor
129,Lesotho,48.95,Si,2012,Desconocido,No,No,No,No,No,No,No,No,No,No
130,Liberia,27.81,No,0,1 años,No,No,Si,No,No,No,No,No,No,No
131,Libya,3.9,No,0,5 años,No,No,No,No,No,No,No,No,No,No
132,Liechtenstein,66.11,Si,1989,Desconocido,No,Si,Si,No,Si,No,No,Si,No,No
133,Lithuania,50.91,Si,1993,Desconocido,No,Si,Si,Si,Si,No,No,No,No,No
134,Luxembourg,82.16,Si,1795,Desconocido,No,Si,Si,No,Si,No,Si,Si,Si,Si
136,Madagascar,43.81,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
137,Malawi,15.0,No,0,14 años,No,No,No,No,No,No,No,No,No,No
138,Malaysia,7.81,No,0,20 años,No,No,No,No,No,No,No,No,No,No
139,Maldives,22.93,No,0,8 años,No,No,No,No,No,No,No,No,No,No
140,Mali,32.73,Si,0,Desconocido,No,No,No,No,No,No,No,No,No,No
141,Malta,100.0,Si,1973,Desconocido,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si
142,Marshall Islands,60.53,Si,2005,Desconocido,No,Si,Si,No,No,No,No,No,No,No
144,Mauritania,0.0,No,0,Pena de muerte,No,No,No,No,No,No,No,No,No,No
145,Mauritius,55.0,No,0,5 años,No,Si,Si,No,No,No,No,No,No,No
147,Mexico,89.87,Si,1872,Desconocido,Si,Si,Si,Limitada,Si,Limitada,Si,Limitada,Limitada,Limitada
148,Micronesia,60.0,Si,0,Desconocido,No,Si,Si,No,No,No,No,No,No,No
150,Moldova,62.73,Si,1995,Desconocido,No,No,Si,No,Si,No,No,No,No,No
151,Monaco,53.81,Si,1793,Desconocido,No,No,No,Si,Si,No,No,Si,No,No
152,Mongolia,65.24,Si,1961,Desconocido,No,Si,Si,Si,No,No,No,No,No,No
153,Montenegro,70.95,Si,1977,Desconocido,No,Si,Si,Si,Si,No,No,Si,No,No
155,Morocco,11.71,No,0,3 años,No,No,No,No,No,No,No,No,No,No
156,Mozambique,62.86,Si,2015,Desconocido,No,No,Si,No,No,No,No,No,No,No
157,Myanmar,16.1,No,0,10 años,No,No,No,No,No,No,No,No,No,No
158,Namibia,67.5,No,0,Indeterminado,No,No,No,No,No,No,No,No,No,No
159,Nauru,48.68,Si,2016,Desconocido,No,No,No,No,No,Limitada,No,No,No,No
160,Nepal,83.33,Si,2007,Desconocido,Si,Si,Si,No,No,No,No,No,No,No
161,Netherlands,90.46,Si,1811,Desconocido,No,Si,Si,Limitada,Si,No,Si,Si,Si,Si
